client_id,company_name,siren,siret,vat_number,billing_email,billing_contact_name,phone,city,postal_code,country,account_status,last_invoice_date,source_file,notes
B2B-42411-0001,Négoce Lefebvre EURL,309232719,,FR63309232719,facturation.ngocelefebvreeurl@laposte.net,Pierre Bonnet,+33 1 30 49 23 84,Grenoble,38000,FR,Actif,2025-04-27,legacy_erp_export.csv,
B2B-49529-0002,Logistique Dubois & Fils,919058654,91905865401658,FR56919058654,facturation.logistiqueduboisfils@entreprise.fr,Catherine Petit,+33 7 91 68 29 65,Nantes,44000,FR,Inactif,2024-06-11,migration_batch_12.xlsx,Migration ERP en cours
B2B-52245-0003,Maintenance Blanc SARL,314737997,31473799742600,FR95314737997,facturation.maintenanceblancsarl@orange.fr,Catherine Richard,+33 7 53 45 86 99,Bordeaux,33000,FR,En attente,2023-05-08,partner_feed_b2b.csv,Email facturation manquant
B2B-68743-0004,Solutions Renault SASU,014363495,01436349545,FR90014363495,facturation.solutionsrenaultsasu@entreprise.fr,Julie Giraud,+33 7 44 49 42 39,Lille,59000,FR,Suspendu,2024-09-18,manual_onboarding_2023.xlsx,Compte créé avant réforme facturation électronique
B2B-88222-0005,Transports Lambert SAS,413435242,41343524205965,FR09413435242,facturation.transportslambertsas@gmail.com,Thomas Michel,+33 4 91 72 23 11,Nice,06000,FR,Inactif,2022-08-22,import_crm_2024_Q1.xlsx,SIRET à vérifier
B2B-74454-0006,Industrie Moreau SASU,190229415,19022941554548,FR09190229415,facturation.industriemoreausasu@societe.com,Anne Bonnet,+33 7 67 66 48 85,Reims,51100,FR,Actif,2023-03-09,manual_onboarding_2023.xlsx,
B2B-30585-0007,NÉGOCE PERRIN SARL,104332189,10433218911395,,facturation.ngoceperrinsarl@orange.fr,Pierre Giraud,+33 6 62 67 98 86,Paris,75001,FR,Suspendu,2025-04-22,legacy_erp_export.csv,SIRET à vérifier
B2B-25043-0008,Groupe Mercier EURL,832421025,83242102561433,FR27832421025,facturation.groupemerciereurl@laposte.net,,+33 9 66 20 86 15,Lyon,69001,FR,En attente,2025-04-17,import_crm_2024_Q1.xlsx,Migration ERP en cours
B2B-85529-0009,Maintenance Renault SARL,027874293,02787429345607,FR64027874293,facturation.maintenancerenaultsa@entreprise.fr,Isabelle Leroy,+33 4 52 62 98 73,Bordeaux,33000,FR,Actif,2022-08-26,partner_feed_b2b.csv,Compte créé avant réforme facturation électronique
B2B-10150-0010,Distribution Marchand France,876038599,87603859926680,FR40876038599,facturation.distributionmarchand@laposte.net,Thomas Robert,+33 9 99 72 25 13,Paris,75001,FR,Actif,2023-04-06,import_crm_2024_Q1.xlsx,Email facturation manquant
B2B-25396-0011,Industrie Marchand SASU,274846777,27484677750277,FR88274846777,facturation.industriemarchandsas@orange.fr,Anne Giraud,+33 4 18 45 63 53,Marseille,13001,FR,Suspendu,2024-09-29,legacy_erp_export.csv,Email facturation manquant
B2B-80592-0012,Industrie Roux SASU,755886758,75588675830613,,facturation.industrierouxsasu@entreprise.fr,Jean Leroy,+33 9 59 94 93 29,Strasbourg,67000,FR,Inactif,2022-07-24,migration_batch_12.xlsx,Email facturation manquant
B2B-12011-0013,Maintenance Bernard France,262174596,26217459688389,FR76262174596,facturation.maintenancebernardfr@societe.com,Philippe Leroy,+33 9 79 14 89 18,Nantes,44000,FR,Suspendu,2022-07-25,partner_feed_b2b.csv,
B2B-49251-0014,  Services Roux SASU  ,005045569,00504556974177,FR63005045569,facturation.servicesrouxsasu@orange.fr,Pierre Robert,+33 7 89 97 40 73,Strasbourg,67000,FR,Actif,2025-01-24,legacy_erp_export.csv,
B2B-67898-0015,Maintenance Renault SARL,594647430,,FR73594647430,facturation.maintenancerenaultsa@societe.com,Isabelle Bonnet,+33 7 12 94 60 45,Toulouse,31000,FR,Actif,2023-04-17,migration_batch_12.xlsx,Doublon suspecté
